Comment,Designator,Footprint
10k,R4,R_1206_3216Metric
6N137,"OC2,OC1",SOP-8-2.54mm
220,"R2,R3,R1",R_1206_3216Metric
100n,"C6,C2,C4,C1,C5,C3",C_1206_3216Metric
100k,R5,R_1206_3216Metric
MBR0520,D3,D_SOD-123
1N914,"D2,D1",D_SOD-123
MAX485E,IC1,SOIC-8_3.9x4.9mm_P1.27mm
270,R6,R_1206_3216Metric
4.7k,R8,R_1206_3216Metric
470,R7,R_1206_3216Metric
120,R9,R_1206_3216Metric
